year_DateTime1,month_DateTime1,day_DateTime1,sum_Adoption,sum_Died,sum_Euthanasia,sum_Return_to_owner,sum_Transfer
2014,12,9,11,0,3,2,8
2014,12,10,5,0,3,6,10
2014,12,11,15,0,2,7,6
2014,12,12,8,0,1,5,11
2014,12,13,15,0,3,10,5
2014,12,14,11,1,0,7,4
2014,12,15,8,2,5,7,6
2014,12,16,10,1,3,5,3
2014,12,17,15,0,0,11,6
2014,12,18,10,0,4,3,9
2014,12,19,17,0,4,6,11
2014,12,20,16,0,2,6,7
2014,12,21,10,1,2,5,2
2014,12,22,11,0,4,4,4
2014,12,23,20,1,3,2,15
2014,12,24,17,0,2,5,4
2014,12,25,0,0,1,2,2
2014,12,26,17,0,3,8,15
2014,12,27,20,0,1,15,10
2014,12,28,16,0,0,6,4
2014,12,29,13,0,1,5,7
2014,12,30,13,0,5,8,4
2014,12,31,17,1,1,2,2
2015,1,1,21,0,0,6,3
2015,1,2,11,0,1,3,10
2015,1,3,24,0,1,5,7
2015,1,4,14,0,0,6,7
2015,1,5,9,1,1,8,11
2015,1,6,8,2,4,8,9
2015,1,7,10,0,1,3,4
2015,1,8,6,0,0,16,5
2015,1,9,4,0,2,5,15
2015,1,10,11,0,1,2,6
2015,1,11,14,1,0,3,5
2015,1,12,10,0,3,7,8
2015,1,13,3,0,1,4,4
2015,1,14,7,0,3,5,4
2015,1,15,6,0,1,2,5
2015,1,16,7,0,0,4,7
2015,1,17,17,0,1,6,4
2015,1,18,25,0,1,2,6
2015,1,19,17,0,2,5,6
2015,1,20,5,0,4,8,12
2015,1,21,7,0,3,8,8
2015,1,22,5,0,2,9,5
2015,1,23,6,0,1,2,6
2015,1,24,9,0,1,8,6
2015,1,25,18,0,1,3,6
2015,1,26,12,0,4,6,2
2015,1,27,9,0,2,2,3
2015,1,28,5,0,3,6,4
2015,1,29,6,0,3,9,5
2015,1,30,13,0,3,7,7
2015,1,31,21,0,0,2,6
2015,2,1,18,1,0,9,9
2015,2,2,11,0,1,10,7
2015,2,3,7,0,2,8,9
2015,2,4,12,0,0,6,13
2015,2,5,9,0,5,2,2
2015,2,6,7,0,4,4,7
2015,2,7,18,0,1,6,6
2015,2,8,12,0,5,2,5
2015,2,9,3,0,1,9,11
2015,2,10,7,0,3,6,6
2015,2,11,10,0,3,2,5
2015,2,12,16,0,2,6,8
2015,2,13,3,0,4,7,7
2015,2,14,18,0,1,2,2
2015,2,15,12,0,1,3,7
2015,2,16,11,0,0,7,5
2015,2,17,10,0,2,4,2
2015,2,18,6,0,0,6,6
2015,2,19,6,0,3,9,6
2015,2,20,9,0,2,9,15
2015,2,21,16,0,0,2,3
2015,2,22,7,0,3,8,9
2015,2,23,10,0,0,1,7
2015,2,24,6,0,2,4,6
2015,2,25,11,1,1,8,5
2015,2,26,5,0,1,4,7
2015,2,27,14,0,1,4,3
2015,2,28,13,1,1,5,8
2015,3,1,18,1,1,4,6
2015,3,2,6,0,0,3,6
2015,3,3,14,0,1,7,9
2015,3,4,7,0,1,3,2
2015,3,5,4,0,1,2,2
2015,3,6,5,0,3,6,12
2015,3,7,13,0,3,2,6
2015,3,8,15,0,0,1,2
2015,3,9,14,0,0,4,8
2015,3,10,10,0,0,4,7
2015,3,11,7,0,2,8,2
2015,3,12,2,0,1,2,8
2015,3,13,6,0,3,5,6
2015,3,14,22,0,5,5,5
2015,3,15,15,0,3,3,7
2015,3,16,10,0,2,5,10
2015,3,17,5,0,0,6,1
2015,3,18,10,0,0,7,6
2015,3,19,4,0,3,3,2
2015,3,20,7,0,1,8,7
2015,3,21,13,0,2,7,2
2015,3,22,11,0,0,4,13
2015,3,23,5,0,4,11,5
2015,3,24,7,0,1,15,6
2015,3,25,8,2,1,8,14
2015,3,26,2,1,2,9,6
2015,3,27,10,0,5,6,2
2015,3,28,10,1,1,6,6
2015,3,29,12,0,4,5,6
2015,3,30,11,0,1,4,8
2015,3,31,3,1,1,8,7
2015,4,1,5,1,3,10,5
2015,4,2,5,0,2,7,31
2015,4,3,9,1,2,0,14
2015,4,4,12,0,1,1,13
2015,4,5,9,0,1,3,5
2015,4,6,13,0,1,6,8
2015,4,7,10,0,0,7,9
2015,4,8,5,0,0,7,17
2015,4,9,5,0,0,7,7
2015,4,10,4,0,5,6,8
2015,4,11,11,0,0,6,9
2015,4,12,9,0,3,12,13
2015,4,13,4,0,3,8,12
2015,4,14,4,0,1,3,10
2015,4,15,3,0,1,4,14
2015,4,16,2,0,1,3,15
2015,4,17,5,0,0,6,9
2015,4,18,12,1,1,5,5
2015,4,19,11,0,6,6,13
2015,4,20,5,0,3,8,21
2015,4,21,7,0,3,13,22
2015,4,22,9,0,2,6,6
2015,4,23,4,0,4,6,3
2015,4,24,10,0,3,7,11
2015,4,25,17,0,2,7,21
2015,4,26,8,0,1,13,5
2015,4,27,5,0,1,10,16
2015,4,28,9,0,0,7,11
2015,4,29,6,0,2,5,8
2015,4,30,12,0,1,2,20
2015,5,1,6,0,2,7,9
2015,5,2,21,0,1,7,6
2015,5,3,27,0,1,7,17
2015,5,4,12,0,6,7,11
2015,5,5,19,1,1,7,12
2015,5,6,4,0,0,10,8
2015,5,7,6,0,3,6,15
2015,5,8,12,0,1,8,8
2015,5,9,16,0,0,6,12
2015,5,10,16,1,2,5,11
2015,5,11,6,0,6,8,14
2015,5,12,11,0,4,4,19
2015,5,13,6,0,0,2,10
2015,5,14,6,0,3,6,12
2015,5,15,6,3,4,5,8
2015,5,16,11,2,0,7,13
2015,5,17,11,0,4,11,23
2015,5,18,6,0,2,7,13
2015,5,19,7,0,5,7,24
2015,5,20,9,0,4,9,22
2015,5,21,11,0,3,7,8
2015,5,22,12,0,1,9,16
2015,5,23,15,0,1,7,12
2015,5,24,20,0,4,3,6
2015,5,25,21,0,8,8,28
2015,5,26,18,0,2,11,31
2015,5,27,17,0,3,7,25
2015,5,28,13,1,3,5,14
2015,5,29,7,1,1,9,19
2015,5,30,17,0,3,5,11
2015,5,31,16,1,1,5,25
2015,6,1,11,0,0,8,10
2015,6,2,7,0,7,4,10
2015,6,3,10,0,7,12,10
2015,6,4,9,0,2,7,13
2015,6,5,10,0,1,5,23
2015,6,6,12,1,1,3,23
2015,6,7,27,1,1,7,20
2015,6,8,17,1,6,3,18
2015,6,9,20,0,5,4,16
2015,6,10,8,0,2,3,8
2015,6,11,10,1,4,1,13
2015,6,12,9,0,2,2,5
2015,6,13,16,0,0,7,15
2015,6,14,18,1,1,6,15
2015,6,15,13,1,3,7,23
2015,6,16,16,1,2,6,11
2015,6,17,5,0,3,5,26
2015,6,18,8,1,0,6,18
2015,6,19,12,1,0,10,29
2015,6,20,18,2,2,8,18
2015,6,21,14,1,6,10,14
2015,6,22,11,0,5,7,10
2015,6,23,24,0,4,11,29
2015,6,24,16,0,5,8,40
2015,6,25,25,0,5,5,10
2015,6,26,19,0,4,2,12
2015,6,27,21,1,3,2,14
2015,6,28,21,1,2,2,7
2015,6,29,23,1,3,11,31
2015,6,30,22,3,3,2,36
2015,7,1,19,1,1,3,17
2015,7,2,12,0,2,5,32
2015,7,3,22,4,3,3,23
2015,7,4,6,0,4,3,16
2015,7,5,24,0,1,12,3
2015,7,6,13,1,5,11,11
2015,7,7,19,1,3,11,5
2015,7,8,17,3,0,7,8
2015,7,9,18,0,3,5,4
2015,7,10,14,0,3,8,7
2015,7,11,18,2,0,4,5
2015,7,12,10,0,1,5,7
2015,7,13,11,0,3,3,10
2015,7,14,13,0,4,3,16
2015,7,15,10,0,4,6,15
2015,7,16,15,1,1,6,10
2015,7,17,11,0,1,2,12
2015,7,18,80,1,0,6,10
2015,7,19,55,1,2,7,16
2015,7,20,17,0,1,4,13
2015,7,21,18,0,1,7,12
2015,7,22,19,0,2,3,13
2015,7,23,16,0,3,7,10
2015,7,24,11,0,4,10,10
2015,7,25,18,0,2,1,9
2015,7,26,19,0,0,6,19
2015,7,27,11,0,4,2,12
2015,7,28,21,0,2,5,9
2015,7,29,5,0,2,4,19
2015,7,30,14,0,0,9,14
2015,7,31,16,0,2,1,11
2015,8,1,26,0,3,2,14
2015,8,2,19,1,2,3,12
2015,8,3,10,1,3,3,13
2015,8,4,9,0,2,13,8
2015,8,5,5,0,0,5,10
2015,8,6,8,0,1,1,19
2015,8,7,7,2,3,7,11
2015,8,8,20,0,2,4,12
2015,8,9,20,0,0,6,7
2015,8,10,11,0,3,5,7
2015,8,11,10,1,4,5,32
2015,8,12,13,1,6,4,14
2015,8,13,13,0,2,7,19
2015,8,14,14,0,0,3,9
2015,8,15,23,2,2,7,7
2015,8,16,25,0,0,3,7
2015,8,17,13,0,0,3,3
2015,8,18,7,0,1,12,9
2015,8,19,11,0,3,1,23
2015,8,20,11,1,0,6,4
2015,8,21,13,0,0,4,19
2015,8,22,23,0,0,1,13
2015,8,23,17,0,1,5,2
2015,8,24,19,1,2,7,21
2015,8,25,17,0,1,7,26
2015,8,26,14,0,1,3,12
2015,8,27,6,0,1,8,10
2015,8,28,14,0,2,7,12
2015,8,29,28,1,0,6,13
2015,8,30,21,1,0,4,11
2015,8,31,11,0,2,4,14
2015,9,1,17,0,1,7,30
2015,9,2,10,0,1,2,3
2015,9,3,11,1,2,11,10
2015,9,4,17,0,3,6,10
2015,9,5,15,1,1,2,21
2015,9,6,18,0,1,4,14
2015,9,7,25,0,0,8,16
2015,9,8,11,0,1,3,9
2015,9,9,13,0,2,5,12
2015,9,10,9,0,3,2,14
2015,9,11,7,0,2,10,18
2015,9,12,30,1,1,8,14
2015,9,13,22,0,4,6,12
2015,9,14,4,1,3,3,16
2015,9,15,9,0,2,3,12
2015,9,16,6,0,4,3,9
2015,9,17,16,0,0,6,26
2015,9,18,10,0,1,10,25
2015,9,19,20,1,1,9,9
2015,9,20,20,0,0,2,9
2015,9,21,8,0,0,4,29
2015,9,22,10,0,3,2,8
2015,9,23,12,0,0,3,17
2015,9,24,10,0,1,2,6
2015,9,25,9,0,1,3,5
2015,9,26,11,1,0,7,11
2015,9,27,31,0,1,4,3
2015,9,28,7,1,2,3,5
2015,9,29,11,1,1,10,12
2015,9,30,12,0,1,7,4
2015,10,1,2,0,2,4,18
2015,10,2,9,0,0,5,8
2015,10,3,8,1,1,6,8
2015,10,4,14,0,1,4,10
2015,10,5,9,0,1,9,9
2015,10,6,9,1,1,6,14
2015,10,7,9,0,0,9,34
2015,10,8,6,2,1,7,21
2015,10,9,13,0,2,2,9
2015,10,10,11,1,0,7,14
2015,10,11,23,2,1,6,16
2015,10,12,11,0,1,7,16
2015,10,13,13,0,3,5,22
2015,10,14,10,1,0,2,5
2015,10,15,7,1,3,6,8
2015,10,16,15,2,1,7,8
2015,10,17,25,0,1,5,2
2015,10,18,34,0,1,5,6
2015,10,19,13,0,1,5,9
2015,10,20,9,0,2,8,21
2015,10,21,8,0,1,7,23
2015,10,22,8,0,1,2,6
2015,10,23,12,0,1,4,9
2015,10,24,18,0,1,6,4
2015,10,25,9,0,2,7,3
2015,10,26,4,1,3,11,10
2015,10,27,12,0,0,7,16
2015,10,28,11,0,1,5,8
2015,10,29,13,0,2,4,22
2015,10,30,3,0,0,4,4
2015,10,31,12,1,0,12,13
2015,11,1,13,0,0,18,18
2015,11,2,8,0,3,15,7
2015,11,3,15,2,2,8,12
2015,11,4,8,1,0,11,8
2015,11,5,6,0,1,8,15
2015,11,6,9,0,1,7,11
2015,11,7,21,1,1,5,4
2015,11,8,15,0,3,5,7
2015,11,9,15,0,2,6,8
2015,11,10,17,1,0,9,11
2015,11,11,19,1,1,6,15
2015,11,12,9,0,3,7,5
2015,11,13,9,0,1,17,25
2015,11,14,19,0,0,11,5
2015,11,15,16,1,1,8,13
2015,11,16,2,0,0,10,11
2015,11,17,13,0,0,9,21
2015,11,18,12,1,0,5,8
2015,11,19,9,0,0,7,5
2015,11,20,13,0,0,3,13
2015,11,21,28,0,0,2,3
2015,11,22,20,0,0,4,8
2015,11,23,8,0,0,6,15
2015,11,24,12,0,0,2,12
2015,11,25,11,0,0,18,8
2015,11,26,1,0,1,0,5
2015,11,27,33,0,2,11,4
2015,11,28,18,1,1,3,5
2015,11,29,25,0,2,7,5
2015,11,30,15,1,1,6,23
2015,12,1,7,0,4,7,2
2015,12,2,11,0,3,10,3
2015,12,3,1,0,1,2,11
2015,12,4,10,0,0,6,9
2015,12,5,13,0,1,6,0
2015,12,6,20,0,0,5,11
2015,12,7,11,0,0,6,10
2015,12,8,13,0,2,5,10
2015,12,9,10,0,0,4,3
2015,12,10,11,0,0,6,5
2015,12,11,8,1,0,5,2
2015,12,12,27,0,1,9,4
2015,12,13,23,0,0,8,4
2015,12,14,11,0,0,5,8
2015,12,15,18,0,1,8,7
2015,12,16,17,0,0,5,10
2015,12,17,17,0,0,5,11
2015,12,18,15,0,1,2,2
2015,12,19,17,0,0,6,10
2015,12,20,19,0,0,7,10
2015,12,21,13,0,0,6,8
2015,12,22,14,0,0,8,8
2015,12,23,21,0,1,7,14
2015,12,24,12,0,0,5,4
2015,12,25,1,0,0,1,2
2015,12,26,17,1,0,11,5
2015,12,27,10,0,1,6,13
2015,12,28,12,0,0,11,15
2015,12,29,17,0,0,6,3
2015,12,30,8,0,7,11,2
2015,12,31,16,0,0,9,7
2016,1,1,0,0,1,3,6
2016,1,2,19,0,1,7,7
2016,1,3,11,1,3,5,3
2016,1,4,9,0,1,11,12
2016,1,5,11,0,1,6,13
2016,1,6,9,0,2,14,10
2016,1,7,12,0,0,8,8
2016,1,8,6,0,1,4,18
2016,1,9,23,0,0,3,3
2016,1,10,20,0,0,13,3
2016,1,11,15,0,1,6,6
2016,1,12,15,0,1,5,4
2016,1,13,13,0,0,8,5
2016,1,14,5,0,0,7,2
2016,1,15,19,0,0,2,3
2016,1,16,16,0,3,4,16
2016,1,17,17,1,2,8,7
2016,1,18,19,0,0,3,11
2016,1,19,9,0,0,11,6
2016,1,20,12,0,0,5,11
2016,1,21,11,0,0,3,3
2016,1,22,17,0,0,3,7
2016,1,23,17,0,1,4,5
2016,1,24,20,0,0,3,0
2016,1,25,8,0,0,4,10
2016,1,26,4,1,2,8,8
2016,1,27,11,0,1,3,7
2016,1,28,10,1,0,4,5
2016,1,29,9,0,0,7,15
2016,1,30,18,0,0,8,2
2016,1,31,7,0,0,5,5
2016,2,1,12,0,1,6,0
2016,2,2,7,0,0,4,14
2016,2,3,8,0,1,6,7
2016,2,4,12,0,0,6,1
2016,2,5,10,1,1,3,8
2016,2,6,19,0,0,4,4
2016,2,7,11,0,0,5,13
2016,2,8,10,0,0,5,6
2016,2,9,7,1,0,1,8
2016,2,10,7,0,0,2,4
2016,2,11,15,0,1,4,7
2016,2,12,13,0,2,10,6
2016,2,13,28,0,1,6,0
2016,2,14,22,1,0,13,1
2016,2,15,23,0,1,5,10
2016,2,16,12,1,1,12,22
2016,2,17,0,0,1,4,5
2016,2,18,14,0,4,4,2
2016,2,19,7,0,1,4,1
2016,2,20,17,0,2,8,3
2016,2,21,17,0,0,8,10
